slug,nome,final_url,provider,confianca,sinal,cache_used
gelson-bourschiet,Gelson Bourschiet,https://shopleiloes.leilao.br/,leilao_br,high,host=shopleiloes.leilao.br,static
,Guilherme Lopes de Souza,https://www.leilominas.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,GIULIANO FERRONATO,https://www.ferronato.leilao.br/,leilao_br,high,host=www.ferronato.leilao.br,static
,Luiz Balbino Da Silva Junior,https://balbinoleiloes.com.br/,desconhecido,n/a,no rule matched,static
,SILVIO LUCIAN,https://www.lucianleiloes.com.br/,lucian_leiloes,high,spider-específico:lucian_leiloes,static
,Alex Vieira Passos,https://portalax.com.br/,portalax,high,spider-específico:portalax,static
,Marcos Garcia Almeida,https://www.3torresleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Sérgio Sousa Rodrigues,https://bhleiloaria.com.br/,bomvalor,high,bomvalor.com.br,static
,Ruam Carlos Chaves Gotardo,https://www.leiloesnovaserrana.com.br/,leiloes_nova_serrana,high,spider-específico:leiloes_nova_serrana,static
,Luiz Washington Campolina Santos,https://luizcampolina.com.br/,wordpress,medium,stack=WordPress,static
,Flares Aguiar da Silva,https://faleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Daiane Fucks Pelentir,https://www.agilileiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,JIMMY ASAMI,https://www.asamileiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Matheus Werneck de Oliveira Santos,https://www.leiloarialoucoporleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,SÉRGIO ROBERTO PIMENTEL SCHOLANTE,https://www.scholanteleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,SÉRGIO RICARDO DE BRITO BORGES,https://www.gestorleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,Luiz Felipe Perpétuo Lobato,https://www.luizlobatoleiloeiro.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,Marcos Paulo Branco de Morais,https://www.saladeleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,POLIANA MIKEJEVS CALÇA,https://www.superbid.net/,s4b_digital,high,s4bdigital.net,static
